"InternalDate","Time","InternalTime","Exchange","Symbol","LastPrice","BidPrice1","AskPrice1"
2022-07-01,83008000,30608000,"ICEU","B2209",109.83,109.82,109.84
2022-07-01,83014000,30614000,"ICEU","B2209",109.83,109.82,109.84
2022-07-01,83016000,30616000,"ICEU","B2209",109.84,109.85,109.87
2022-07-01,83017000,30617000,"ICEU","B2209",109.84,109.83,109.86
2022-07-01,83020000,30620000,"ICEU","B2209",109.84,109.83,109.86
2022-07-01,83022000,30622000,"ICEU","B2209",109.84,109.83,109.86
2022-07-01,83023000,30623000,"ICEU","B2209",109.84,109.84,109.87
2022-07-01,83026000,30626000,"ICEU","B2209",109.84,109.84,109.87
2022-07-01,83028000,30628000,"ICEU","B2209",109.84,109.84,109.87
2022-07-01,83031000,30631000,"ICEU","B2209",109.84,109.83,109.86
2022-07-01,83032000,30632000,"ICEU","B2209",109.84,109.84,109.86
2022-07-01,83038000,30638000,"ICEU","B2209",109.84,109.84,109.86
2022-07-01,83039000,30639000,"ICEU","B2209",109.84,109.84,109.86
2022-07-01,83040000,30640000,"ICEU","B2209",109.84,109.83,109.86
2022-07-01,83043000,30643000,"ICEU","B2209",109.84,109.82,109.85
2022-07-01,83044000,30644000,"ICEU","B2209",109.84,109.82,109.85
2022-07-01,83045000,30645000,"ICEU","B2209",109.84,109.82,109.85
2022-07-01,83047000,30647000,"ICEU","B2209",109.84,109.82,109.85
2022-07-01,83049000,30649000,"ICEU","B2209",109.85,109.83,109.86
2022-07-01,83050000,30650000,"ICEU","B2209",109.85,109.83,109.86
2022-07-01,83051000,30651000,"ICEU","B2209",109.85,109.83,109.86
2022-07-01,83052000,30652000,"ICEU","B2209",109.85,109.83,109.86
2022-07-01,83053000,30653000,"ICEU","B2209",109.85,109.83,109.85
2022-07-01,83054000,30654000,"ICEU","B2209",109.83,109.81,109.84
2022-07-01,83056000,30656000,"ICEU","B2209",109.83,109.8,109.84
2022-07-01,83059000,30659000,"ICEU","B2209",109.83,109.8,109.84
2022-07-01,83101000,30661000,"ICEU","B2209",109.83,109.8,109.83
