"InternalDate","Time","InternalTime","Exchange","Symbol","LastPrice","BidPrice1","AskPrice1"
2022-07-04,83006000,30606000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83008000,30608000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83009000,30609000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83010000,30610000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83011000,30611000,"ICEU","B2209",111.2,111.22,111.27
2022-07-04,83012000,30612000,"ICEU","B2209",111.2,111.22,111.27
2022-07-04,83013000,30613000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83014000,30614000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83016000,30616000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83017000,30617000,"ICEU","B2209",111.2,111.22,111.26
2022-07-04,83019000,30619000,"ICEU","B2209",111.2,111.22,111.27
2022-07-04,83023000,30623000,"ICEU","B2209",111.2,111.22,111.27
2022-07-04,83026000,30626000,"ICEU","B2209",111.2,111.24,111.28
2022-07-04,83027000,30627000,"ICEU","B2209",111.2,111.24,111.28
2022-07-04,83028000,30628000,"ICEU","B2209",111.2,111.24,111.29
2022-07-04,83029000,30629000,"ICEU","B2209",111.2,111.24,111.29
2022-07-04,83030000,30630000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83031000,30631000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83032000,30632000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83034000,30634000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83038000,30638000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83042000,30642000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83044000,30644000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83045000,30645000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83046000,30646000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83048000,30648000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83049000,30649000,"ICEU","B2209",111.2,111.25,111.29
2022-07-04,83052000,30652000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83053000,30653000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83100000,30660000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83101000,30661000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83102000,30662000,"ICEU","B2209",111.2,111.25,111.28
2022-07-04,83103000,30663000,"ICEU","B2209",111.2,111.24,111.26
2022-07-04,83105000,30665000,"ICEU","B2209",111.2,111.24,111.26
2022-07-04,83114000,30674000,"ICEU","B2209",111.2,111.24,111.26
